config,workload,concurrency,repeat,n,p50_ms,p95_ms,p99_ms,avg_ms,req_per_sec,ok,err,cpu_pct,url
cg_adaptive_xss,token,10,4,10000,3.6,5.8,7.0,4.8,1803.2846,10000,0,135.1,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_adaptive_xss,token,10,5,10000,3.6,6.0,7.3,5.2,1611.4792,10000,0,121.9,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_adaptive_xss,token,50,1,10000,4.3,6.8,1015.6,23.0,1466.7573,10000,0,110.2,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_adaptive_xss,token,50,2,10000,4.3,6.7,1015.3000000000001,20.7,1683.1075,10000,0,124.6,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_adaptive_xss,token,50,3,10000,4.0,6.5,1011.3000000000001,19.3,1725.9485,10000,0,127.5,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_adaptive_xss,token,50,4,10000,4.4,6.5,11.2,18.9,1510.3426,10000,0,115.8,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_adaptive_xss,token,50,5,10000,4.2,7.4,1020.6999999999999,21.0,1643.9687,10000,0,132.4,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_static_xss,plain,1,1,10000,1.0,1.3,2.7,1.0,947.7207,10000,0,67.2,http://localhost/customapp/product?id=1
cg_static_xss,plain,1,2,10000,1.0,1.2,2.5,1.0,975.1758,10000,0,67.9,http://localhost/customapp/product?id=1
cg_static_xss,plain,1,3,10000,1.0,1.2,2.3,1.0,973.8691,10000,0,68.1,http://localhost/customapp/product?id=1
cg_static_xss,plain,1,4,10000,1.0,1.2,1.5,1.0,988.9087,10000,0,68.0,http://localhost/customapp/product?id=1
cg_static_xss,plain,1,5,10000,1.0,1.3,2.5,1.0,950.9075,10000,0,68.3,http://localhost/customapp/product?id=1
cg_static_xss,plain,10,1,10000,3.6,5.8999999999999995,7.2,4.7,1767.7674,10000,0,129.9,http://localhost/customapp/product?id=1
cg_static_xss,plain,10,2,10000,3.8,6.2,7.7,5.5,1671.2222,10000,0,128.5,http://localhost/customapp/product?id=1
cg_static_xss,plain,10,3,10000,3.6,6.0,7.3,5.0,1644.2464,10000,0,118.1,http://localhost/customapp/product?id=1
cg_static_xss,plain,10,4,10000,4.2,5.8999999999999995,6.6,5.0,1809.5381,10000,0,126.0,http://localhost/customapp/product?id=1
cg_static_xss,plain,10,5,10000,3.6,5.7,6.8,4.7,1841.5769,10000,0,129.4,http://localhost/customapp/product?id=1
cg_static_xss,plain,50,1,10000,3.9,6.3,1013.6,21.3,1647.3936,10000,0,116.1,http://localhost/customapp/product?id=1
cg_static_xss,plain,50,2,10000,4.2,6.8,440.2,19.099999999999998,1646.2185,10000,0,121.0,http://localhost/customapp/product?id=1
cg_static_xss,plain,50,3,10000,4.2,6.8999999999999995,634.0,19.7,1671.491,10000,0,123.5,http://localhost/customapp/product?id=1
cg_static_xss,plain,50,4,10000,4.4,6.1000000000000005,9.4,17.6,1665.8592,10000,0,114.7,http://localhost/customapp/product?id=1
cg_static_xss,plain,50,5,10000,4.2,6.4,449.1,18.700000000000003,1801.2377,10000,0,129.2,http://localhost/customapp/product?id=1
cg_static_xss,token,1,1,10000,1.0,1.4,2.6,1.1,911.6451,10000,0,69.8,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_static_xss,token,1,2,10000,1.0,1.4,2.7,1.1,896.8634,10000,0,68.7,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
